Country,Countrycode3,Countrycode2,Year,Population,Incomegroup,Mean,Median,Gini,Source,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Q1,Q2,Q3,Q4,Q5,P5,P95,Revision,Quality,Source_Comments,Region,Region_sub,Currency,Reference_Period,Welfaredefn,IncSharU,UofAnala,Equivsc,AreaCovr,PopCovr,AgeCovr,EU,OECD,Year_cat,Welfaredefn_new,Equivsc_new,AgeCovr_new,AreaCovr_new,PopCovr_new,IncSharU_new,UofAnala_new,Exchangerate,Mean_usd,Median_usd
Afghanistan,AFG,AF,2007,26.91153,Low income,36588,,29,National Risk and Vulnerability Assessment,,,,,,,,,,,9,13,17,22,39,,,New 2013,High,European commision and Government of Afghanistan,Asia,Southern Asia,AF,Month,Consumption,Household,Person,Per capita,All,All,All,Non-EU,Non-OECD,2000-2009,Consumption,Household per capita,All,All,All,Household,Person,49.9620177703972,732.320007324219,
Afghanistan,AFG,AF,2008,27.65889,Low income,,,27.8,World Bank,,,,,,,,,,,9.4,13.61,17.37,22.14,37.48,,,New 2013,Average,World Development Indicators 2013,Asia,Southern Asia,,,Income/consumption,,,,All,All,All,Non-EU,Non-OECD,2000-2009,Other,,All,All,All,,,,,
Albania,ALB,AL,1996,3.092034,Upper middle income,58192.8,,28,"Deininger & Squire, World Bank 2004",3.68,5.02,6.01,7.02,8.06,9.11,10.64,12.54,15.12,22.8,8.7,13.03,17.16,23.18,37.92,,,,Average,Employment and Welfare Survey,Europe,Southern Europe,Leke,Month,Consumption,Household,Person,Per capita,"All, excl Tirana",All,All,Non-EU,Non-OECD,1990-1999,Consumption,Household per capita,All,Other,All,Household,Person,104.498916666667,556.869995117188,
Albania,ALB,AL,2002,3.123112,Upper middle income,2256.96,1861.68,31.74,World Bank 2016,3.49,4.86,5.84,6.74,7.65,8.84,10.23,11.98,14.93,25.44,8.35,12.58,16.49,22.21,40.37,,,New 2017,Average,PovcalNet,Europe,Southern Europe,US$2011PPP,Year,Consumption,Household,Person,Per capita,All,All,All,Non-EU,Non-OECD,2000-2009,Consumption,Household per capita,All,All,All,Household,Person,1,,
Albania,ALB,AL,2005,3.082172,Upper middle income,2605.92,2217.48,30.6,World Bank 2016,3.48,4.92,5.98,6.92,7.99,9.04,10.37,12.13,14.83,24.34,8.4,12.9,17.03,22.5,39.17,,,New 2017,Average,PovcalNet,Europe,Southern Europe,US$2011PPP,Year,Consumption,Household,Person,Per capita,All,All,All,Non-EU,Non-OECD,2000-2009,Consumption,Household per capita,All,All,All,Household,Person,1,,
Albania,ALB,AL,2008,2.968026,Upper middle income,2850.24,2385.12,29.98,World Bank 2016,3.73,5.14,6.09,6.98,7.91,8.92,10.3,11.93,14.54,24.46,8.87,13.07,16.83,22.23,39,,,New 2017,Average,PovcalNet,Europe,Southern Europe,US$2011PPP,Year,Consumption,Household,Person,Per capita,All,All,All,Non-EU,Non-OECD,2000-2009,Consumption,Household per capita,All,All,All,Household,Person,1,,
Albania,ALB,AL,2012,2.880667,Upper middle income,2703.36,2340.72,28.96,World Bank 2016,3.66,5.19,6.14,7.03,8.08,9.26,10.52,12.29,14.89,22.93,8.85,13.17,17.34,22.81,37.82,,,New 2017,Average,PovcalNet,Europe,Southern Europe,US$2011PPP,Year,Consumption,Household,Person,Per capita,All,All,All,Non-EU,Non-OECD,2010-2015,Consumption,Household per capita,All,All,All,Household,Person,1,,
Algeria,DZA,DZ,1988,24.591493,Upper middle income,2025.6,,40.1,World Bank Poverty Monitoring Database 2002,2.56,3.98,4.93,5.86,6.85,7.97,9.38,11.29,14.51,32.67,6.54,10.79,14.82,20.67,47.18,,,,Low,Enquete sur les Depenses de Consommation des Menages,Africa,Northern Africa,USD,Month,Consumption,Household,Person,Per capita,All,All,All,Non-EU,Non-OECD,1980-1989,Consumption,Household per capita,All,All,All,Household,Person,1,2025.59997558594,
Algeria,DZA,DZ,1995,28.9043,Upper middle income,1896,,35.3,World Bank Poverty Monitoring Database 2002,2.87,4.1,5.22,6.33,7.48,8.75,10.29,12.34,15.73,26.89,6.97,11.55,16.23,22.63,42.62,,,,Low,Enquete national sur la mesure des nivaux de vie de menages Algeriens,Africa,Northern Africa,USD,Month,Consumption,Household,Person,Per capita,All,All,All,Non-EU,Non-OECD,1990-1999,Consumption,Household per capita,All,All,All,Household,Person,1,1896,
Angola,AGO,AO,2000,15.058638,Upper middle income,1640.4,1037.64,51.96,World Bank 2016,0.98,2.2,3.34,4.5,5.66,7.05,8.81,11.35,15.87,40.25,3.18,7.84,12.71,20.16,56.12,,,New 2017,Average,PovcalNet,Africa,Middle Africa,US$2011PPP,Year,Consumption,Household,Person,Per capita,Urban,All,All,Non-EU,Non-OECD,2000-2009,Consumption,Household per capita,All,Urban,All,Household,Person,1,,
Angola,AGO,AO,2008,19.842251,Upper middle income,1448.88,1044.24,42.72,World Bank 2016,2.07,3.36,4.32,5.3,6.54,7.92,9.65,12.29,16.23,32.31,5.43,9.62,14.46,21.94,48.54,,,New 2017,Average,PovcalNet,Africa,Middle Africa,US$2011PPP,Year,Consumption,Household,Person,Per capita,All,All,All,Non-EU,Non-OECD,2000-2009,Consumption,Household per capita,All,All,All,Household,Person,1,,
Angola,AGO,AO,2009,20.520103,Upper middle income,101028,,39,Integrated Survey on the Welfare of Population Vol. I,,,,,,,,,,,6,11,15,22,45,,,New 2013,High,Angola IBEP Report 2008-09,Africa,Middle Africa,kwanza,Month,Consumption,Household,Person,Per capita,Urban,All,All,Non-EU,Non-OECD,2000-2009,Consumption,Household per capita,All,Urban,All,Household,Person,79.3281666666667,1273.55004882813,
Angola,AGO,AO,2009,20.520103,Upper middle income,77388,,43,Integrated Survey on the Welfare of Population Vol. I,,,,,,,,,,,5,10,14,22,49,,,New 2013,High,Angola IBEP Report 2008-09,Africa,Middle Africa,kwanza,Month,Consumption,Household,Person,Per capita,All,All,All,Non-EU,Non-OECD,2000-2009,Consumption,Household per capita,All,All,All,Household,Person,79.3281666666667,975.539978027344,
Angola,AGO,AO,2009,20.520103,Upper middle income,48732,,38,Integrated Survey on the Welfare of Population Vol. I,,,,,,,,,,,6,11,15,22,45,,,New 2013,High,Angola IBEP Report 2008-09,Africa,Middle Africa,kwanza,Month,Consumption,Household,Person,Per capita,Rural,All,All,Non-EU,Non-OECD,2000-2009,Consumption,Household per capita,All,Rural,All,Household,Person,79.3281666666667,614.309997558594,
Angola,AGO,AO,2009,20.520103,Upper middle income,132924,,55,Integrated Survey on the Welfare of Population Vol. I,,,,,,,,,,,3,7,12,19,59,,,New 2013,High,Angola IBEP Report 2008-09,Africa,Middle Africa,kwanza,Month,Income,Household,Person,Per capita,Urban,All,All,Non-EU,Non-OECD,2000-2009,Other,Household per capita,All,Urban,All,Household,Person,79.3281666666667,1675.61999511719,
Angola,AGO,AO,2009,20.520103,Upper middle income,105204,,55,Integrated Survey on the Welfare of Population Vol. I,,,,,,,,,,,3,7,12,19,59,,,New 2013,High,Angola IBEP Report 2008-09,Africa,Middle Africa,kwanza,Month,Income,Household,Person,Per capita,All,All,All,Non-EU,Non-OECD,2000-2009,Other,Household per capita,All,All,All,Household,Person,79.3281666666667,1326.18994140625,
Angola,AGO,AO,2009,20.520103,Upper middle income,71604,,50,Integrated Survey on the Welfare of Population Vol. I,,,,,,,,,,,4,8,13,20,55,,,New 2013,High,Angola IBEP Report 2008-09,Africa,Middle Africa,kwanza,Month,Income,Household,Person,Per capita,Rural,All,All,Non-EU,Non-OECD,2000-2009,Other,Household per capita,All,Rural,All,Household,Person,79.3281666666667,902.630004882812,
Argentina,ARG,AR,1953,18.238994,High income: non-OECD,,21288,40,Altimir 1986,3.2,4.2,5,5.7,6.4,7.2,8.3,9.9,13,37.1,7.4,10.7,13.6,18.2,50.1,,,,Low,Based on National Accounts,Americas,South America,Pesos,Month,"Monetary income, disposable",Household,Household,No adjustment,All,All,All,Non-EU,Non-OECD,1950-1959,"Income, disposable",Without adjustment,All,All,All,Household,Household,,,
Argentina,ARG,AR,1953,18.238994,High income: non-OECD,,,41.2,Weisskoff 1970,3.2,4.3,5,5.6,6.5,7.4,8.3,9.8,13.2,36.8,7.5,10.6,13.9,18.1,50,,,,Low,ACND,Americas,South America,,,Income,Household,Household,No adjustment,All,All,All,Non-EU,Non-OECD,1950-1959,Other,Without adjustment,All,All,All,Household,Household,,,
Argentina,ARG,AR,1959,20.290249,High income: non-OECD,,112824,44.7,Altimir 1986,3,3.8,4.4,5,5.8,6.5,7.6,9.1,12.5,42.3,6.8,9.4,12.3,16.7,54.8,,,,Low,Based on National Accounts,Americas,South America,Pesos,Month,"Monetary income, disposable",Household,Household,No adjustment,All,All,All,Non-EU,Non-OECD,1950-1959,"Income, disposable",Without adjustment,All,All,All,Household,Household,,,
Argentina,ARG,AR,1959,20.290249,High income: non-OECD,,,46.3,Weisskoff 1970,3,3.9,4.4,5.1,5.7,6.5,7.8,9,12.8,41.9,6.9,9.5,12.2,16.8,54.7,,,,Low,,Americas,South America,,,Income,Household,Household,No adjustment,All,All,All,Non-EU,Non-OECD,1950-1959,Other,Without adjustment,All,All,All,Household,Household,,,
Argentina,ARG,AR,1961,20.959981,High income: non-OECD,,163680,41.9,Altimir 1986,2.9,4.1,4.8,5.5,6.2,7,8,9.6,12.9,39,7,10.3,13.2,17.6,51.9,,,,Low,Based on National Accounts,Americas,South America,Pesos,Month,"Monetary income, disposable",Household,Household,No adjustment,All,All,All,Non-EU,Non-OECD,1960-1969,"Income, disposable",Without adjustment,All,All,All,Household,Household,,,
Argentina,ARG,AR,1961,20.959981,High income: non-OECD,,170256,40.7,Altimir 1986,3.2,4.3,5,5.6,6.2,7,8,9.6,12.7,38.4,7.5,10.6,13.2,17.6,51.1,,,,Low,Based on National Accounts,Americas,South America,Pesos,Month,"Monetary income, disposable",Household,Household,No adjustment,Urban,All,All,Non-EU,Non-OECD,1960-1969,"Income, disposable",Without adjustment,All,Urban,All,Household,Household,,,
Argentina,ARG,AR,1961,20.959981,High income: non-OECD,,,42.3,Cromwell 1977,,,,,,,,,,,7,,,,,,29.4,,Not known,Weisskoff 1970,Americas,South America,,,Income,Household,Household,No adjustment,All,All,All,Non-EU,Non-OECD,1960-1969,Other,Without adjustment,All,All,All,Household,Household,,,
Argentina,ARG,AR,1961,20.959981,High income: non-OECD,,,50.8,Jain 1975,3,3.1,3.7,4.2,5.1,6.1,7.7,9.8,13.7,43.6,6.1,7.9,11.2,17.5,57.3,,33.8,,Not known,Cline 1972,Americas,South America,,,Income,Household,Household,No adjustment,Agricultural sector,All,All,Non-EU,Non-OECD,1960-1969,Other,Without adjustment,All,Rural,All,Household,Household,,,
