source,target,type
pref,collective,character
beliefs,collective,character
social-pref,pref,type
conditional,pref,type
normative,beliefs,type
social-belief,beliefs,type
descriptive,collective,type
custom,collective,type
norm,collective,type
ignorance,persistence,type
preferred,persistence,type
alternatives,persistence,type
economic,tools,type
legal,tools,type
trend,tools,type
media,tools,type
persistence,change,step
reasons,change,step
expectation-change,change,step
collective-action,change,step
prioritize,reasons,elaboration
reinterpret,reasons,elaboration
theories,reasons,elaboration
defiance,reasons,elaboration
tools,change,elaboration
change,norm,elaboration
