source,target,type
mediocre,other,motivates
mediocre,multiple,motivates
optimistic,other,motivates
optimistic,multiple,motivates
overconfident,other,motivates
overconfident,multiple,motivates
naive,single,supertype
pessimistic,multiple,contradicts
moreLikely,single,describes
overconfident,naive,describes
mediocre,naive,describes
optimistic,naive,describes
outcomes,multiple,describes
widened,multiple,describes
narrowed,multiple,describes
framing,multiple,describes
framing,other,describes
rational,multiple,describes
